company	ticker	id	name	disclosedName	sourcePage	preIpoShares	preIpoOwnershipPct	nameResolution	definitionSourcePage	evidence
澜起科技	688008	star-investor-72e324f2a26c6dbe0a	Beijing Integrated Circuit Industry International Fund, L.P.	BICI	96	1047350.0	0.103	definitions	19	38 BICI 1,047,350 0.103 1,047,350 0.093
澜起科技	688008	star-investor-71f2ecb9c9bf1fe001	深圳前海珂玺资本管理有限公司	前海珂玺	97	196250.0	0.019	definitions	19	41 前海珂玺 196,250 0.019 196,250 0.017
中微公司	688012	star-investor-b3fe3d3bb446a6352c	上海创业投资有限公司	上海创投	83	96383533.0	20.02	definitions	17	1 上海创投 96,383,533 20.02%
中微公司	688012	star-investor-062205f497151adaa4	巽鑫（上海）投资有限公司	巽鑫投资	83	93337887.0	19.39	definitions	17	2 巽鑫投资 93,337,887 19.39%
中微公司	688012	star-investor-ed6d125e68062dd8c2	南昌智微企业管理合伙企业（有限合伙）	南昌智微	83	30644454.0	6.37	definitions	18	3 南昌智微 30,644,454 6.37%
中微公司	688012	star-investor-8d661f7dbe9c3e6a5e	置都（上海）投资中心（有限合伙）	置都投资	83	26383986.0	5.48	definitions	17	4 置都投资 26,383,986 5.48%
中微公司	688012	star-investor-5de6efc5b3c411a8a2	Advanced Micro-Fabrication Equipment Inc. Asia	中微亚洲	83	24821537.0	5.15	definitions	17	5 中微亚洲 24,821,537 5.15%
中微公司	688012	star-investor-cbff853c51da0ab505	嘉兴悦橙投资合伙企业（有限合伙）	悦橙投资	83	22565991.0	4.69	definitions	17	6 悦橙投资 22,565,991 4.69%
中微公司	688012	star-investor-852d2284e905a66a95	国开创新资本投资有限责任公司	国开创新	83	19691183.0	4.09	definitions	17	7 国开创新 19,691,183 4.09%
中微公司	688012	star-investor-1ba0420f78aa242634	Primrose Capital Limited	Primrose	83	19598224.0	4.07	definitions	17	8 Primrose 19,598,224 4.07%
中微公司	688012	star-investor-0e6aa3d38363e71864	嘉兴创橙投资合伙企业（有限合伙）	创橙投资	83	13184004.0	2.74	definitions	17	9 创橙投资 13,184,004 2.74%
中微公司	688012	star-investor-a344c0afed4893ecf4	义乌和谐锦弘股权投资合伙企业（有限合伙）	和谐锦弘	83	12796240.0	2.66	definitions	17	10 和谐锦弘 12,796,240 2.66%
中微公司	688012	star-investor-092b5f6f5a71a08475	合肥茂流投资中心合伙企业（有限合伙）	茂流投资	83	3877648.0	0.81	definitions	17	24 茂流投资 3,877,648 0.81% 3,877,648 0.72%
中微公司	688012	star-investor-392e8dec6b1f255462	Futago Pte. Ltd.	Futago	83	3767092.0	0.78	definitions	18	25 Futago 3,767,092 0.78% 3,767,092 0.70%
中微公司	688012	star-investor-bac4f487ba4aa6be89	上海励微投资管理合伙企业（有限合伙）	励微投资	83	1959667.0	0.41	definitions	17	29 励微投资 1,959,667 0.41% 1,959,667 0.37%
中微公司	688012	star-investor-d393b212385f098d78	上海芃徽投资管理合伙企业（有限合伙）	芃徽投资	83	246774.0	0.05	definitions	17	34 芃徽投资 246,774 0.05% 246,774 0.05%
